time_s,mean_alignment,mean_height_m,success_fraction,active_fraction
0.02,0.7633824944496155,0.09375271946191788,0.0,1.0
0.04,0.7504535913467407,0.09729371219873428,0.0,1.0
0.06,0.7355378866195679,0.10026799142360687,0.0,1.0
0.08,0.7173138856887817,0.10245025157928467,0.0,1.0
0.1,0.6944985389709473,0.10355034470558167,0.0,1.0
0.12,0.6655697822570801,0.10332438349723816,0.0,1.0
0.14,0.628719687461853,0.10145828127861023,0.0,1.0
0.16,0.5819571614265442,0.09784281998872757,0.0,1.0
0.18,0.5273200273513794,0.09218086302280426,0.0,1.0
0.2,0.4688192903995514,0.0838184654712677,0.0,1.0
0.22,0.40791743993759155,0.07243899255990982,0.0,1.0
0.24,0.3397335708141327,0.05942971259355545,0.0,1.0
0.26,0.2672455310821533,0.045907311141490936,0.0,1.0
0.28,0.20455807447433472,0.035446736961603165,0.0,1.0
0.3,0.16644872725009918,0.03355744108557701,0.0,1.0
0.32,0.14164188504219055,0.035005368292331696,0.0,1.0
0.34,0.12364868819713593,0.036653827875852585,0.0,1.0
0.36,0.1122828871011734,0.03836440667510033,0.0,1.0
0.38,0.10698345303535461,0.04017690569162369,0.0,1.0
0.4,0.10643623769283295,0.04189669340848923,0.0,1.0
0.42,0.10909776389598846,0.04335032403469086,0.0,1.0
0.44,0.11356720328330994,0.04430268704891205,0.0,1.0
0.46,0.11853408813476562,0.04459809511899948,0.0,1.0
0.48,0.12284274399280548,0.04410173371434212,0.0,1.0
0.5,0.1258392632007599,0.04273425042629242,0.0,1.0
0.52,0.1274261474609375,0.04049292951822281,0.0,1.0
0.54,0.12765076756477356,0.0374046266078949,0.0,1.0
0.56,0.12256862968206406,0.033198095858097076,0.0078125,1.0
0.58,0.11693194508552551,0.028009695932269096,0.015625,0.9921875
0.6,0.10699784755706787,0.022959569469094276,0.015625,0.984375
0.62,0.06528276205062866,0.010122716426849365,0.1796875,0.984375
0.64,-0.07480401545763016,-0.007037639152258635,0.1796875,0.8203125
0.66,-0.0809062272310257,-0.006833883933722973,0.1875,0.8203125
0.68,-0.08815354108810425,-0.006520832423120737,0.1875,0.8125
0.7,-0.15437383949756622,-0.019167020916938782,0.390625,0.8125
0.72,-0.5232751369476318,-0.06883252412080765,0.5546875,0.609375
0.74,-0.987513542175293,-0.12559394538402557,0.5546875,0.4453125
0.76,-0.9884946346282959,-0.1244892030954361,0.5546875,0.4453125
0.78,-0.9886030554771423,-0.12413062155246735,0.5546875,0.4453125
0.8,-0.9877883791923523,-0.12456022202968597,0.5546875,0.4453125
0.82,-0.9859227538108826,-0.12570731341838837,0.5546875,0.4453125
0.84,-0.9829396605491638,-0.1273263841867447,0.5546875,0.4453125
0.86,-0.9790138006210327,-0.1288820207118988,0.5546875,0.4453125
0.88,-0.9748291373252869,-0.12982724606990814,0.5546875,0.4453125
0.9,-0.9711880683898926,-0.1302034556865692,0.5546875,0.4453125
0.92,-0.9683816432952881,-0.13050100207328796,0.5546875,0.4453125
0.94,-0.9664666652679443,-0.13098445534706116,0.5546875,0.4453125
0.96,-0.9651972651481628,-0.13155817985534668,0.5546875,0.4453125
0.98,-0.9644036889076233,-0.13216322660446167,0.5546875,0.4453125
1.0,-0.9635986685752869,-0.13273000717163086,0.5546875,0.4453125
1.02,-0.9629326462745667,-0.13329894840717316,0.5546875,0.4453125
1.04,-0.9624729752540588,-0.13374480605125427,0.5546875,0.4453125
1.06,-0.9621734023094177,-0.13409176468849182,0.5546875,0.4453125
1.08,-0.9619707465171814,-0.1343192160129547,0.5546875,0.4453125
1.1,-0.9618083238601685,-0.13448700308799744,0.5546875,0.4453125
1.12,-0.961652934551239,-0.13457868993282318,0.5546875,0.4453125
1.14,-0.9615254998207092,-0.13462024927139282,0.5546875,0.4453125
1.16,-0.961380124092102,-0.13464531302452087,0.5546875,0.4453125
1.18,-0.9612506031990051,-0.13464932143688202,0.5546875,0.4453125
1.2,-0.9611530303955078,-0.13464345037937164,0.5546875,0.4453125
1.22,-0.9610550403594971,-0.13463324308395386,0.5546875,0.4453125
1.24,-0.9609485268592834,-0.1346270889043808,0.5546875,0.4453125
1.26,-0.9608400464057922,-0.13462476432323456,0.5546875,0.4453125
1.28,-0.9607350826263428,-0.13462798297405243,0.5546875,0.4453125
1.3,-0.9606386423110962,-0.1346333920955658,0.5546875,0.4453125
1.32,-0.9605564475059509,-0.13463930785655975,0.5546875,0.4453125
1.34,-0.9604857563972473,-0.13464197516441345,0.5546875,0.4453125
1.36,-0.9604236483573914,-0.13464389741420746,0.5546875,0.4453125
1.38,-0.9603760838508606,-0.13464832305908203,0.5546875,0.4453125
1.4,-0.9603338241577148,-0.13465119898319244,0.5546875,0.4453125
1.42,-0.9602976441383362,-0.1346537470817566,0.5546875,0.4453125
1.44,-0.960264265537262,-0.13465332984924316,0.5546875,0.4453125
1.46,-0.9602386355400085,-0.13465461134910583,0.5546875,0.4453125
1.48,-0.960216224193573,-0.1346573829650879,0.5546875,0.4453125
1.5,-0.9601981043815613,-0.13465973734855652,0.5546875,0.4453125
1.52,-0.960182785987854,-0.13466119766235352,0.5546875,0.4453125
1.54,-0.9601686596870422,-0.134662926197052,0.5546875,0.4453125
1.56,-0.96015465259552,-0.13466471433639526,0.5546875,0.4453125
1.58,-0.9601420164108276,-0.13466626405715942,0.5546875,0.4453125
1.6,-0.9601324200630188,-0.13466741144657135,0.5546875,0.4453125
1.62,-0.9601231813430786,-0.13466867804527283,0.5546875,0.4453125
1.64,-0.9601139426231384,-0.1346697062253952,0.5546875,0.4453125
1.66,-0.9601058959960938,-0.13467049598693848,0.5546875,0.4453125
1.68,-0.9601004719734192,-0.13467106223106384,0.5546875,0.4453125
1.7,-0.96009361743927,-0.13467161357402802,0.5546875,0.4453125
1.72,-0.9600852727890015,-0.1346726417541504,0.5546875,0.4453125
1.74,-0.9600807428359985,-0.13467280566692352,0.5546875,0.4453125
1.76,-0.960076630115509,-0.13467289507389069,0.5546875,0.4453125
1.78,-0.9600720405578613,-0.13467353582382202,0.5546875,0.4453125
1.8,-0.9600669145584106,-0.1346740424633026,0.5546875,0.4453125
1.82,-0.9600591063499451,-0.1346752643585205,0.5546875,0.4453125
1.84,-0.9600539803504944,-0.13467559218406677,0.5546875,0.4453125
1.86,-0.9600493907928467,-0.13467596471309662,0.5546875,0.4453125
1.88,-0.9600437879562378,-0.1346752941608429,0.5546875,0.4453125
1.9,-0.9600408673286438,-0.13467545807361603,0.5546875,0.4453125
1.92,-0.9600367546081543,-0.1346757858991623,0.5546875,0.4453125
1.94,-0.9600343108177185,-0.1346760094165802,0.5546875,0.4453125
1.96,-0.9600287675857544,-0.1346767693758011,0.5546875,0.4453125
1.98,-0.9600218534469604,-0.13467799127101898,0.5546875,0.4453125
2.0,-0.9600181579589844,-0.1346786916255951,0.5546875,0.4453125
2.02,-0.9600141048431396,-0.13467933237552643,0.5546875,0.4453125
2.04,-0.9600107073783875,-0.1346777230501175,0.5546875,0.4453125
2.06,-0.9600071907043457,-0.13467389345169067,0.5546875,0.4453125
2.08,-0.9600050449371338,-0.134673610329628,0.5546875,0.4453125
2.1,-0.9600038528442383,-0.13467365503311157,0.5546875,0.4453125
2.12,-0.9600008130073547,-0.1346738189458847,0.5546875,0.4453125
2.14,-0.9599967002868652,-0.13467469811439514,0.5546875,0.4453125
2.16,-0.9599934816360474,-0.13467523455619812,0.5546875,0.4453125
2.18,-0.959989607334137,-0.13467587530612946,0.5546875,0.4453125
2.2,-0.9599843621253967,-0.13467711210250854,0.5546875,0.4453125
2.22,-0.9599828720092773,-0.13467712700366974,0.5546875,0.4453125
2.24,-0.9599811434745789,-0.1346774697303772,0.5546875,0.4453125
2.26,-0.9599770307540894,-0.13467836380004883,0.5546875,0.4453125
2.28,-0.959977388381958,-0.13467824459075928,0.5546875,0.4453125
2.3,-0.959976851940155,-0.13467800617218018,0.5546875,0.4453125
2.32,-0.959976315498352,-0.13467814028263092,0.5546875,0.4453125
2.34,-0.9599776864051819,-0.1346777081489563,0.5546875,0.4453125
2.36,-0.9599767327308655,-0.13467788696289062,0.5546875,0.4453125
2.38,-0.9599756598472595,-0.13467802107334137,0.5546875,0.4453125
