trial,obstacle_height_m,max_progress_m,max_foot_clearance_m,body_collision,success,fell,success_time_s
0,0.012000000104308128,0.6061840057373047,0.06614676862955093,False,True,False,4.039999961853027
1,0.012000000104308128,0.5922574996948242,0.06279712915420532,False,True,False,4.059999942779541
2,0.012000000104308128,1.0534443855285645,0.05700547993183136,False,False,False,nan
3,0.012000000104308128,0.6106820106506348,0.06028211861848831,False,True,False,4.460000038146973
4,0.012000000104308128,0.5917167663574219,0.057427942752838135,False,True,False,4.079999923706055
5,0.012000000104308128,0.5914874076843262,0.05758100748062134,False,True,False,3.7799999713897705
6,0.012000000104308128,0.5917716026306152,0.058070115745067596,False,True,False,4.259999752044678
7,0.012000000104308128,1.0099997520446777,0.0585208460688591,False,False,False,nan
8,0.01600000075995922,1.0897431373596191,0.06162001192569733,False,False,False,nan
9,0.01600000075995922,0.5911660194396973,0.05610372871160507,False,True,False,4.079999923706055
10,0.01600000075995922,0.5915822982788086,0.05525986850261688,False,True,False,4.059999942779541
11,0.01600000075995922,1.052553653717041,0.05306496471166611,False,False,False,nan
12,0.01600000075995922,0.591916561126709,0.0533435195684433,False,True,False,4.139999866485596
13,0.01600000075995922,1.058596134185791,0.053960949182510376,False,False,False,nan
14,0.01600000075995922,0.5946598052978516,0.05794353783130646,False,True,False,4.079999923706055
15,0.01600000075995922,0.592216968536377,0.059090256690979004,False,True,False,4.179999828338623
16,0.019999999552965164,0.5905284881591797,0.05500175431370735,False,True,False,3.8399999141693115
17,0.019999999552965164,0.5920453071594238,0.04726409539580345,False,True,False,3.799999952316284
18,0.019999999552965164,0.590385913848877,0.0494890920817852,False,True,False,4.099999904632568
19,0.019999999552965164,1.0184216499328613,0.05656437203288078,False,False,False,nan
20,0.019999999552965164,0.5902261734008789,0.05063857510685921,False,True,False,4.179999828338623
21,0.019999999552965164,0.9934258460998535,0.05059463903307915,False,False,False,nan
22,0.019999999552965164,0.5902576446533203,0.04942658916115761,False,True,False,4.119999885559082
23,0.019999999552965164,1.0120811462402344,0.05071478709578514,False,False,False,nan
24,0.024000000208616257,0.5910544395446777,0.04706433787941933,False,True,False,3.799999952316284
25,0.024000000208616257,0.5904145240783691,0.047695647925138474,False,True,False,3.879999876022339
26,0.024000000208616257,0.590857982635498,0.0463610403239727,False,True,False,3.740000009536743
27,0.024000000208616257,0.6002621650695801,0.0447881780564785,False,True,False,3.9599997997283936
28,0.024000000208616257,0.5902018547058105,0.04559852555394173,False,True,False,3.919999837875366
29,0.024000000208616257,0.9422845840454102,0.045768607407808304,False,False,False,nan
30,0.024000000208616257,0.592376708984375,0.05054423585534096,False,True,False,4.099999904632568
31,0.024000000208616257,0.591576099395752,0.04702996090054512,False,True,False,3.93999981880188
