time_s,mean_ball_progress_m,mean_ball_speed_mps,mean_robot_ball_distance_m,mean_closest_robot_ball_distance_m,success_fraction,fall_fraction
0.02,0.0,0.0,0.27935466170310974,0.27935466170310974,0.0,0.0
0.04,0.0,0.0,0.27863532304763794,0.277892142534256,0.0,0.0
0.06,0.0,0.0,0.2783902585506439,0.2769128680229187,0.0,0.0
0.08,0.0,0.0,0.27895432710647583,0.27633121609687805,0.0,0.0
0.1,0.0,0.0,0.27967941761016846,0.27587980031967163,0.0,0.0
0.12,0.0,0.0,0.28097474575042725,0.27566277980804443,0.0,0.0
0.14,0.0,0.0,0.2832300066947937,0.27552610635757446,0.0,0.0
0.16,0.0,0.0,0.28540217876434326,0.2753828167915344,0.0,0.0
0.18,0.0,0.0,0.28635120391845703,0.27518635988235474,0.0,0.0
0.2,0.0,0.0,0.2861626148223877,0.2749229371547699,0.0,0.0
0.22,0.0,0.0,0.28545957803726196,0.2745606303215027,0.0,0.0
0.24,0.0,0.0,0.2845085561275482,0.27419453859329224,0.0,0.0
0.26,0.0,0.0,0.283471941947937,0.27381277084350586,0.0,0.0
0.28,0.0,0.0,0.28237810730934143,0.27343109250068665,0.0,0.0
0.3,0.0,0.0,0.28137069940567017,0.2731080651283264,0.0,0.0
0.32,0.0,0.0,0.2806957960128784,0.27290448546409607,0.0,0.0
0.34,0.0,0.0,0.2804260849952698,0.27271196246147156,0.0,0.0
0.36,0.0,0.0,0.28022515773773193,0.2724460959434509,0.0,0.0
0.38,0.0,0.0,0.2802715301513672,0.27211278676986694,0.0,0.0
0.4,0.0,0.0,0.28074485063552856,0.27175045013427734,0.0,0.0
0.42,0.0,0.0,0.28162306547164917,0.2714652419090271,0.0,0.0
0.44,0.0,0.0,0.2828431725502014,0.2712017297744751,0.0,0.0
0.46,0.0,0.0,0.28390616178512573,0.27100250124931335,0.0,0.0
0.48,0.0,0.0,0.28443849086761475,0.2708040475845337,0.0,0.0
0.5,0.0,0.0,0.2843741774559021,0.2705302834510803,0.0,0.0
0.52,0.0,0.0,0.2836766839027405,0.2702251374721527,0.0,0.0
0.54,0.0,0.0,0.2824667692184448,0.26998186111450195,0.0,0.0
0.56,0.0,0.0,0.27960294485092163,0.2695343494415283,0.0,0.015625
0.58,0.0,0.0,0.2784724235534668,0.26929113268852234,0.0,0.015625
0.6,0.0,0.0,0.2785462439060211,0.26926499605178833,0.0,0.015625
0.62,0.0,0.0,0.27948495745658875,0.2692384719848633,0.0,0.015625
0.64,0.0,0.0,0.28073471784591675,0.26922664046287537,0.0,0.015625
0.66,0.0,0.0,0.2824638783931732,0.2692250609397888,0.0,0.015625
0.68,0.0,0.0,0.2847849726676941,0.2692250609397888,0.0,0.015625
0.7,0.0,0.0,0.2875654995441437,0.2692250609397888,0.0,0.015625
0.72,0.0,0.0,0.2907108962535858,0.2692250609397888,0.0,0.015625
0.74,0.0,0.0,0.2930775284767151,0.2692250609397888,0.0,0.015625
0.76,0.0,0.0,0.2941332161426544,0.2691795825958252,0.0,0.015625
0.78,0.0,0.0,0.29416021704673767,0.26911115646362305,0.0,0.015625
0.8,0.0,0.0,0.2938109040260315,0.26904723048210144,0.0,0.015625
0.82,0.0,0.0,0.2930704951286316,0.2689881920814514,0.0,0.015625
0.84,0.0,0.0,0.2919248640537262,0.2689172625541687,0.0,0.015625
0.86,0.0,0.0,0.29018434882164,0.26882684230804443,0.0,0.015625
0.88,0.0,0.0,0.2880943715572357,0.26870596408843994,0.0,0.015625
0.9,0.0,0.0,0.285823792219162,0.26859980821609497,0.0,0.015625
0.92,0.0,0.0,0.28371304273605347,0.26852673292160034,0.0,0.015625
0.94,0.0,0.0,0.282106876373291,0.26847705245018005,0.0,0.015625
0.96,0.0,0.0,0.28091225028038025,0.26845473051071167,0.0,0.015625
0.98,0.0,0.0,0.2804310619831085,0.26845231652259827,0.0,0.015625
1.0,0.0,0.0,0.28062254190444946,0.26845231652259827,0.0,0.015625
1.02,0.0,0.0,0.2805267870426178,0.26844316720962524,0.0,0.015625
1.04,0.0,0.0,0.28003033995628357,0.26842501759529114,0.0,0.015625
1.06,0.0,0.0,0.2791009545326233,0.2683740556240082,0.0,0.015625
1.08,0.0,0.0,0.2777109146118164,0.26824963092803955,0.0,0.015625
1.1,0.0,0.0,0.27594566345214844,0.2678661346435547,0.0,0.015625
1.12,0.0,0.0,0.2751046419143677,0.2675255239009857,0.0,0.015625
1.14,0.0,0.0,0.2754063010215759,0.267396479845047,0.0,0.015625
1.16,0.0,0.0,0.27633383870124817,0.2673298716545105,0.0,0.015625
1.18,0.0,0.0,0.2775093913078308,0.2672211825847626,0.0,0.015625
1.2,0.0,0.0,0.27894890308380127,0.2671375572681427,0.0,0.015625
1.22,0.0,0.0,0.2810651361942291,0.2670888900756836,0.0,0.015625
1.24,0.0,0.0,0.28325316309928894,0.2670705318450928,0.0,0.015625
1.26,0.0,0.0,0.284061998128891,0.267041951417923,0.0,0.015625
1.28,0.0,0.0,0.28336861729621887,0.2669762372970581,0.0,0.015625
1.3,0.0,0.0,0.28192082047462463,0.2669258415699005,0.0,0.015625
1.32,0.0,0.0,0.2805744707584381,0.26687896251678467,0.0,0.015625
1.34,0.0,0.0,0.2796003818511963,0.2668320834636688,0.0,0.015625
1.36,0.0,0.0,0.27884650230407715,0.26679614186286926,0.0,0.015625
1.38,0.0,0.0,0.27782729268074036,0.266717791557312,0.0,0.015625
1.4,0.0,0.0,0.27620917558670044,0.26640090346336365,0.0,0.015625
1.42,0.0,0.0,0.2745199203491211,0.2659030854701996,0.0,0.015625
1.44,0.0,0.0,0.2727774381637573,0.2652231752872467,0.0,0.015625
1.46,0.0,0.0,0.2712962329387665,0.2645668685436249,0.0,0.015625
1.48,0.0,0.0,0.2703951299190521,0.2641526758670807,0.0,0.015625
1.5,0.0,0.0,0.2701517939567566,0.264042466878891,0.0,0.015625
1.52,0.0,0.0,0.27072617411613464,0.2640395164489746,0.0,0.015625
1.54,0.0,0.0,0.27153998613357544,0.2640395164489746,0.0,0.015625
1.56,0.0,0.0,0.2718870937824249,0.2640395164489746,0.0,0.015625
1.58,0.0,0.0,0.2717057764530182,0.26400166749954224,0.0,0.015625
1.6,0.0,0.0,0.27095264196395874,0.2638337314128876,0.0,0.015625
1.62,0.0,0.0,0.26959946751594543,0.2634660303592682,0.0,0.015625
1.64,0.0,0.0,0.2675940692424774,0.2624717652797699,0.0,0.015625
1.66,0.0,0.0,0.2658328413963318,0.261301189661026,0.0,0.015625
1.68,0.0,0.0,0.2653336226940155,0.2607983946800232,0.0,0.015625
1.7,0.0,0.0,0.265908807516098,0.2607134282588959,0.0,0.015625
1.72,0.0,0.0,0.26706254482269287,0.2606857717037201,0.0,0.015625
1.74,0.0,0.0,0.2685673236846924,0.260677307844162,0.0,0.015625
1.76,0.0,0.0,0.27058038115501404,0.260677307844162,0.0,0.015625
1.78,0.0,0.0,0.2734345495700836,0.260677307844162,0.0,0.015625
1.8,0.0,0.0,0.2751573324203491,0.260677307844162,0.0,0.015625
1.82,0.0,0.0,0.27481794357299805,0.260677307844162,0.0,0.015625
1.84,0.0,0.0,0.2734311819076538,0.2606533169746399,0.0,0.015625
1.86,0.0,0.0,0.27213582396507263,0.2605612277984619,0.0,0.015625
1.88,0.0,0.0,0.27103957533836365,0.2604570686817169,0.0,0.015625
1.9,0.0,0.0,0.2701829671859741,0.2603811025619507,0.0,0.015625
1.92,0.0,0.0,0.26881715655326843,0.26029661297798157,0.0,0.015625
1.94,0.0,0.0,0.26688989996910095,0.2597713768482208,0.0,0.015625
1.96,0.0,0.0,0.2648395001888275,0.2588326036930084,0.0,0.015625
1.98,0.0,0.0,0.2627970576286316,0.25763341784477234,0.0,0.015625
2.0,0.0,0.0,0.26105591654777527,0.25640374422073364,0.0,0.015625
2.02,0.0,0.0,0.25996091961860657,0.25563082098960876,0.0,0.015625
2.04,0.0,0.0,0.25950556993484497,0.2553118169307709,0.0,0.015625
2.06,0.0,0.0,0.25992706418037415,0.25530123710632324,0.0,0.015625
2.08,0.0,0.0,0.26043733954429626,0.25529083609580994,0.0,0.015625
2.1,0.0,0.0,0.26053598523139954,0.2552420496940613,0.0,0.015625
2.12,0.0,0.0,0.26019591093063354,0.2550828754901886,0.0,0.015625
2.14,0.0,0.0,0.25935909152030945,0.25459885597229004,0.0,0.015625
2.16,0.0,0.0,0.25791066884994507,0.2535691559314728,0.0,0.015625
2.18,0.0,0.0,0.25590553879737854,0.25188425183296204,0.0,0.015625
2.2,0.0,0.0,0.25449585914611816,0.25059646368026733,0.0,0.015625
2.22,0.0,0.0,0.25431525707244873,0.25029098987579346,0.0,0.015625
2.24,0.0,0.0,0.255139023065567,0.25028499960899353,0.0,0.015625
2.26,0.0,0.0,0.25643390417099,0.25028499960899353,0.0,0.015625
2.28,0.0,0.0,0.2580452859401703,0.25028499960899353,0.0,0.015625
2.3,0.0,0.0,0.26024600863456726,0.25028499960899353,0.0,0.015625
2.32,0.0,0.0,0.26282763481140137,0.25028499960899353,0.0,0.015625
2.34,0.0,0.0,0.2639980614185333,0.25028499960899353,0.0,0.015625
2.36,0.0,0.0,0.26362448930740356,0.25028499960899353,0.0,0.015625
2.38,0.0,0.0,0.26206323504447937,0.25028499960899353,0.0,0.015625
2.4,0.0,0.0,0.2607690393924713,0.25025707483291626,0.0,0.015625
2.42,0.0,0.0,0.25976860523223877,0.2501954138278961,0.0,0.015625
2.44,0.0,0.0,0.2588392198085785,0.25011613965034485,0.0,0.015625
2.46,0.0,0.0,0.2574142813682556,0.24992701411247253,0.0,0.015625
2.48,0.0,0.0,0.25546395778656006,0.24923835694789886,0.0,0.015625
2.5,0.0,0.0,0.2533818185329437,0.2480108141899109,0.0,0.015625
2.52,0.0,0.0,0.2513169050216675,0.2465372383594513,0.0,0.015625
2.54,0.0,0.0,0.24957582354545593,0.24513070285320282,0.0,0.015625
2.56,0.0,0.0,0.24845930933952332,0.24418799579143524,0.0,0.015625
2.58,0.0,0.0,0.24809032678604126,0.24385473132133484,0.0,0.015625
2.6,0.0,0.0,0.2486349642276764,0.24384911358356476,0.0,0.015625
2.62,0.0,0.0,0.24902215600013733,0.24382643401622772,0.0,0.015625
2.64,0.0,0.0,0.24897797405719757,0.24370142817497253,0.0,0.015625
2.66,0.0,0.0,0.24840229749679565,0.2433340698480606,0.0,0.015625
2.68,0.0,0.0,0.24720992147922516,0.24253565073013306,0.0,0.015625
2.7,0.0,0.0,0.24532486498355865,0.24102705717086792,0.0,0.015625
2.72,0.0,0.0,0.2428925484418869,0.23890133202075958,0.0,0.015625
2.74,0.0,0.0,0.24109575152397156,0.23728908598423004,0.0,0.015625
2.76,0.0,0.0,0.24055448174476624,0.23672378063201904,0.0,0.015625
2.78,0.0,0.0,0.24111784994602203,0.23662959039211273,0.0,0.015625
2.8,0.0,0.0,0.24245767295360565,0.23660942912101746,0.0,0.015625
2.82,0.0,0.0,0.24424490332603455,0.23660942912101746,0.0,0.015625
2.84,0.0,0.0,0.24653227627277374,0.23660942912101746,0.0,0.015625
2.86,0.0,0.0,0.24868573248386383,0.23660942912101746,0.0,0.015625
2.88,0.0,0.0,0.2494794875383377,0.23660756647586823,0.0,0.015625
2.9,0.0,0.0,0.248832106590271,0.23656976222991943,0.0,0.015625
2.92,0.0,0.0,0.24738483130931854,0.2365189492702484,0.0,0.015625
2.94,0.0,0.0,0.24619506299495697,0.23639975488185883,0.0,0.015625
2.96,0.0,0.0,0.24524344503879547,0.2361874133348465,0.0,0.015625
2.98,0.0,0.0,0.2444186955690384,0.23592336475849152,0.0,0.015625
3.0,0.0,0.0,0.24304191768169403,0.2355516105890274,0.0,0.015625
3.02,0.0,0.0,0.24101144075393677,0.2345844954252243,0.0,0.015625
3.04,0.0,0.0,0.23892416059970856,0.23308856785297394,0.0,0.015625
3.06,0.0,0.0,0.23683540523052216,0.23139448463916779,0.0,0.015625
3.08,0.0,0.0,0.23506572842597961,0.22998018562793732,0.0,0.015625
3.1,0.0,0.0,0.23390641808509827,0.2290809452533722,0.0,0.015625
3.12,0.0,0.0,0.23345640301704407,0.2288004457950592,0.0,0.015625
3.14,0.0,0.0,0.2337821125984192,0.22878915071487427,0.0,0.015625
3.16,0.0,0.0,0.23387834429740906,0.22872459888458252,0.0,0.015625
3.18,0.0,0.0,0.23358070850372314,0.2285240888595581,0.0,0.015625
3.2,0.0,0.0,0.23276887834072113,0.2279846966266632,0.0,0.015625
3.22,0.0,0.0,0.23131418228149414,0.2268543690443039,0.0,0.015625
3.24,0.0,0.0,0.22912177443504333,0.22500890493392944,0.0,0.015625
3.26,0.0,0.0,0.22660501301288605,0.22267425060272217,0.0,0.015625
3.28,0.0,0.0,0.22511647641658783,0.2211381047964096,0.0,0.015625
3.3,0.0,0.0,0.224789559841156,0.22062461078166962,0.0,0.015625
3.32,0.0,0.0,0.2254309356212616,0.22053256630897522,0.0,0.015625
3.34,0.0,0.0,0.22686225175857544,0.22050459682941437,0.0,0.015625
3.36,0.0,0.0,0.22881972789764404,0.22049961984157562,0.0,0.015625
3.38,0.0,0.0,0.23118679225444794,0.22049438953399658,0.0,0.015625
3.4,0.0,0.0,0.23322731256484985,0.22048527002334595,0.0,0.015625
3.42,0.0,0.0,0.23378540575504303,0.22048527002334595,0.0,0.015625
3.44,0.0,0.0,0.23287777602672577,0.22048215568065643,0.0,0.015625
3.46,0.0,0.0,0.2313290685415268,0.2204359769821167,0.0,0.015625
3.48,0.0,0.0,0.22990091145038605,0.2202528566122055,0.0,0.015625
3.5,0.0,0.0,0.22869935631752014,0.2199137657880783,0.0,0.015625
3.52,0.0,0.0,0.2276303619146347,0.2194669395685196,0.0,0.015625
3.54,0.0,0.0,0.22596129775047302,0.21891666948795319,0.0,0.015625
3.56,0.0,0.0,0.22374841570854187,0.21774350106716156,0.0,0.015625
3.58,0.0,0.0,0.22159479558467865,0.21621637046337128,0.0,0.015625
3.6,0.0,0.0,0.2195163369178772,0.21451278030872345,0.0,0.015625
3.62,0.0,0.0,0.2178066521883011,0.21308107674121857,0.0,0.015625
3.64,0.0,0.0,0.2167406976222992,0.21216247975826263,0.0,0.015625
3.66,0.0,0.0,0.21639585494995117,0.21183660626411438,0.0,0.015625
3.68,0.0,0.0,0.2165939062833786,0.2117515206336975,0.0,0.015625
3.7,0.0,0.0,0.21662600338459015,0.21157746016979218,0.0,0.015625
3.72,0.0,0.0,0.21629399061203003,0.21119560301303864,0.0,0.015625
3.74,0.0,0.0,0.21543250977993011,0.21038483083248138,0.0,0.015625
3.76,0.0,0.0,0.21387268602848053,0.20893779397010803,0.0,0.015625
3.78,0.0,0.0,0.21161189675331116,0.20682691037654877,0.0,0.015625
3.8,0.0,0.0,0.20931866765022278,0.20469677448272705,0.0,0.015625
3.82,0.0,0.0,0.20800411701202393,0.20338048040866852,0.0,0.015625
3.84,0.0,0.0,0.2077435553073883,0.20287390053272247,0.0,0.015625
3.86,0.0,0.0,0.20838075876235962,0.20277057588100433,0.0,0.015625
3.88,0.0,0.0,0.2097586840391159,0.2027215212583542,0.0,0.015625
3.9,0.0,0.0,0.21181002259254456,0.20269067585468292,0.0,0.015625
3.92,0.0,0.0,0.2140323668718338,0.20264944434165955,0.0,0.015625
3.94,0.0,0.0,0.2153160572052002,0.20259049534797668,0.0,0.015625
3.96,0.0,0.0,0.215511754155159,0.20253267884254456,0.0,0.015625
3.98,0.0,0.0,0.21449437737464905,0.20249852538108826,0.0,0.015625
4.0,0.0,0.0,0.212760329246521,0.20230868458747864,0.0,0.015625
4.02,0.0,0.0,0.21125416457653046,0.20186902582645416,0.0,0.015625
4.04,0.0,0.0,0.2126709222793579,0.20128226280212402,0.015625,0.015625
4.06,0.0,0.0,0.2100922167301178,0.20193219184875488,0.015625,0.015625
4.08,0.0,0.0,0.20825664699077606,0.20087769627571106,0.015625,0.015625
4.1,0.0,0.0,0.20855455100536346,0.19931700825691223,0.03125,0.015625
4.12,0.0,0.0,0.20800720155239105,0.19908228516578674,0.046875,0.015625
4.14,0.0,0.0,0.20483650267124176,0.19882416725158691,0.046875,0.015625
4.16,0.0,0.0,0.2032814770936966,0.1975070834159851,0.046875,0.015625
4.18,0.0,0.0,0.20229220390319824,0.19668039679527283,0.046875,0.015625
4.2,0.0,0.0,0.20195631682872772,0.19637306034564972,0.046875,0.015625
4.22,0.0,0.0,0.20202450454235077,0.19623862206935883,0.046875,0.015625
4.24,0.0,0.0,0.20196394622325897,0.19601933658123016,0.046875,0.015625
4.26,0.0,0.0,0.20424418151378632,0.1956162452697754,0.0625,0.015625
4.28,0.0,0.0,0.20208388566970825,0.19615493714809418,0.0625,0.015625
