time_s,phase,target_height_m,mean_height_m,command_vx_mps,mean_vx_mps,mean_linear_speed_mps,mean_abs_lateral_m,mean_abs_heading_deg,double_contact_fraction,mean_action_rms,mean_action_rate,fall_fraction
0.02,stand_1,0.143,0.12417289614677429,0.0,-0.09348131716251373,0.224188432097435,0.00023883843095973134,0.010438976809382439,1.0,0.28342700004577637,0.28342700004577637,0.0
0.04,stand_1,0.143,0.12881506979465485,0.0,-0.11917378008365631,0.2586694359779358,0.0012933744583278894,0.03181573376059532,1.0,0.3785456120967865,0.14515456557273865,0.0
0.06,stand_1,0.143,0.13386917114257812,0.0,-0.14179480075836182,0.2924956977367401,0.0035019200295209885,0.1027885153889656,0.984375,0.4401003420352936,0.10303767025470734,0.0
0.08,stand_1,0.143,0.1391286998987198,0.0,-0.09657611697912216,0.25866109132766724,0.006038568913936615,0.23089221119880676,0.0,0.5056402087211609,0.07609304785728455,0.0
0.1,stand_1,0.143,0.14100384712219238,0.0,-0.006672095973044634,0.13974963128566742,0.008676777593791485,0.2962626814842224,0.0,0.5227466225624084,0.06870696693658829,0.0
0.12,stand_1,0.143,0.1403961181640625,0.0,-0.005327927879989147,0.10454379767179489,0.010691190138459206,0.29259955883026123,0.015625,0.5309793949127197,0.054841432720422745,0.0
0.14,stand_1,0.143,0.14072322845458984,0.0,-0.04966327175498009,0.10173237323760986,0.011825276538729668,0.750877320766449,0.078125,0.5236783623695374,0.09362535178661346,0.0
0.16,stand_1,0.143,0.1408253312110901,0.0,-0.05353468656539917,0.0940227136015892,0.0132344551384449,1.379201889038086,0.1484375,0.5507485866546631,0.138939768075943,0.0
0.18,stand_1,0.143,0.14101746678352356,0.0,-0.04747168719768524,0.06655253469944,0.013917587697505951,1.7098307609558105,0.1796875,0.5699250102043152,0.12224956601858139,0.0
0.2,stand_1,0.143,0.14116579294204712,0.0,-0.03264327347278595,0.04625597223639488,0.01386225689202547,1.8934364318847656,0.3671875,0.5755441784858704,0.09410242736339569,0.0
0.22,stand_1,0.143,0.14125826954841614,0.0,-0.027090054005384445,0.03649567812681198,0.01366209052503109,1.9980740547180176,0.71875,0.5978582501411438,0.07435566186904907,0.0
0.24,stand_1,0.143,0.1414271593093872,0.0,-0.027500081807374954,0.033039405941963196,0.013415297493338585,2.1568360328674316,0.9140625,0.6202806234359741,0.05719520524144173,0.0
0.26,stand_1,0.143,0.1416236162185669,0.0,-0.023854533210396767,0.026706451550126076,0.013249928131699562,2.345150947570801,1.0,0.6417317986488342,0.04150756448507309,0.0
0.28,stand_1,0.143,0.14184299111366272,0.0,-0.01915058121085167,0.02217031642794609,0.013200251385569572,2.551517963409424,0.9921875,0.6583977937698364,0.0312831774353981,0.0
0.3,stand_1,0.143,0.14207908511161804,0.0,-0.01533675380051136,0.02112576551735401,0.013287274166941643,2.772307872772217,1.0,0.6716620922088623,0.022061340510845184,0.0
0.32,stand_1,0.143,0.14231184124946594,0.0,-0.012528231367468834,0.022132564336061478,0.01349057536572218,2.9882431030273438,1.0,0.6822603940963745,0.01651381328701973,0.0
0.34,stand_1,0.143,0.14252740144729614,0.0,-0.01017187163233757,0.022992968559265137,0.013774572871625423,3.1912646293640137,1.0,0.6899949312210083,0.013523302972316742,0.0
0.36,stand_1,0.143,0.14271613955497742,0.0,-0.00827963650226593,0.02240668423473835,0.014095805585384369,3.3785715103149414,1.0,0.6962175965309143,0.010110842995345592,0.0
0.38,stand_1,0.143,0.14287438988685608,0.0,-0.0070867459289729595,0.020488323643803596,0.01440843939781189,3.549268960952759,1.0,0.7005977034568787,0.008271690458059311,0.0
0.4,stand_1,0.143,0.14300188422203064,0.0,-0.006205527111887932,0.01808275654911995,0.01468767412006855,3.703068733215332,1.0,0.703519344329834,0.007876697927713394,0.0
0.42,stand_1,0.143,0.14310090243816376,0.0,-0.0054243020713329315,0.015608111396431923,0.014926115050911903,3.843538522720337,1.0,0.7059535980224609,0.006539608351886272,0.0
0.44,stand_1,0.143,0.14317631721496582,0.0,-0.005154276266694069,0.013328051194548607,0.015121840871870518,3.9718973636627197,1.0,0.707607090473175,0.005593876354396343,0.0
0.46,stand_1,0.143,0.14323167502880096,0.0,-0.005378034897148609,0.011666123755276203,0.015280267223715782,4.087734222412109,1.0,0.7089135646820068,0.005842761602252722,0.0
0.48,stand_1,0.143,0.14327213168144226,0.0,-0.005792833864688873,0.010670390911400318,0.015410667285323143,4.191941261291504,1.0,0.7102405428886414,0.005435985047370195,0.0
0.5,stand_1,0.143,0.1433030515909195,0.0,-0.006343957036733627,0.010142924264073372,0.015520206652581692,4.286181449890137,1.0,0.7111472487449646,0.0050857653841376305,0.0
0.52,stand_1,0.143,0.14332976937294006,0.0,-0.006543233525007963,0.009829126298427582,0.01561538316309452,4.375126361846924,1.0,0.7118182182312012,0.005006174556910992,0.0
0.54,stand_1,0.143,0.14335577189922333,0.0,-0.0067464448511600494,0.009623905643820763,0.015700556337833405,4.462153434753418,1.0,0.7121533751487732,0.004556499421596527,0.0
0.56,stand_1,0.143,0.14338064193725586,0.0,-0.006791288033127785,0.009408894926309586,0.01577780768275261,4.547122001647949,1.0,0.7121396064758301,0.004277393687516451,0.0
0.58,stand_1,0.143,0.1434035301208496,0.0,-0.0068182446993887424,0.009207486175000668,0.01584806479513645,4.629798889160156,1.0,0.7119630575180054,0.0041672233492136,0.0
0.6,stand_1,0.143,0.14342430233955383,0.0,-0.006704293191432953,0.008813559077680111,0.01591040939092636,4.709923267364502,1.0,0.7116082906723022,0.0038631963543593884,0.0
0.62,stand_1,0.143,0.14344286918640137,0.0,-0.0064858607947826385,0.008502636104822159,0.015964718535542488,4.7865190505981445,1.0,0.7110316753387451,0.0038223606534302235,0.0
0.64,stand_1,0.143,0.14345847070217133,0.0,-0.006177346687763929,0.008038061670958996,0.016012806445360184,4.859060764312744,1.0,0.7104393243789673,0.003686011303216219,0.0
0.66,stand_1,0.143,0.14347191154956818,0.0,-0.006009663455188274,0.007784356363117695,0.016053367406129837,4.928056716918945,1.0,0.7098137736320496,0.0034957323223352432,0.0
0.68,stand_1,0.143,0.1434822380542755,0.0,-0.0057390229776501656,0.00744767626747489,0.016087686643004417,4.992339134216309,1.0,0.7090789079666138,0.003327809041365981,0.0
0.7,stand_1,0.143,0.14349007606506348,0.0,-0.005476983264088631,0.0071178278885781765,0.016116231679916382,5.05214786529541,1.0,0.7084314823150635,0.0033655681181699038,0.0
0.72,stand_1,0.143,0.1434960812330246,0.0,-0.005243717692792416,0.0068123843520879745,0.016140015795826912,5.107555866241455,1.0,0.707781195640564,0.003179936669766903,0.0
0.74,stand_1,0.143,0.1435001790523529,0.0,-0.005007578060030937,0.006564371753484011,0.016159990802407265,5.158598899841309,1.0,0.7071093320846558,0.0029905089177191257,0.0
0.76,stand_1,0.143,0.14350299537181854,0.0,-0.004690248519182205,0.006307223811745644,0.016177568584680557,5.205648422241211,1.0,0.7064810991287231,0.002971107605844736,0.0
